Network,d,a,cc,Cd,Gd,Gr,Bd
variant_100,0.26315789473684204,0.10042845708366688,0.4506671990229085,0.03367527523200975,0.6578508954602251,0.6421271763815293,0.21392408725337037
variant_101,0.36842105263157876,0.25504967277178775,0.6732821693386944,0.2881208138647344,0.6090462307371931,0.6217108251324757,0.2531157785106753
variant_102,0.3789473684210525,0.14303874947031409,0.5559311984162871,0.043958313287064676,0.5738246514151639,0.560109297857774,0.3249083167417122
variant_103,0.1473684210526316,0.12255755920711897,0.22051347358222848,0.01969382622558813,0.7195037002413478,0.7320245017503613,0.5030202331745839
variant_104,0.3526315789473684,0.14492207731060786,0.6433603386975052,0.030437435437991933,0.6764384725680195,0.6876565981810623,0.33110902876030707
variant_105,0.1421052631578945,0.20071566457931161,0.1434820555286187,0.03521929371200949,0.7543465204596558,0.7363163971329991,0.6726650225218469
variant_106,0.3736842105263154,0.09717971655916002,0.6686026079195535,0.03079531016665804,0.6609820758316771,0.6723509831208137,0.28661337280308335
variant_107,0.1105263157894738,0.10989217948114322,0.17423454140079744,0.008284252998456143,0.8738930840900547,0.8831849821491817,0.6086538006343596
variant_108,0.26315789473684204,0.07853477094025141,0.2215832043959558,0.11577330075922188,0.5416493127863393,0.5287030027756752,0.255178499103165
variant_109,0.09999999999999964,0.20080983097132638,0.1032918112711183,0.10617739111333213,0.790227531401634,0.7713397928612495,0.6733043670885832
variant_10,0.22631578947368425,0.15664579311643673,0.43223987614044634,0.014000202267309803,0.6567453835743213,0.6698237769131912,0.5039914449900604
variant_110,0.4368421052631577,0.21479354018550784,0.6373875716917748,0.03436869937875464,0.45296915758784717,0.4686744196684831,0.1476395863426624
variant_111,0.20000000000000018,0.06822355101464289,0.10785315491368537,0.2520107849110378,0.49844616025374044,0.5156155981288455,0.3220846926800755
variant_113,0.1578947368421053,0.11205800649748104,0.08195658993419407,0.07712099938806327,0.6805859877225071,0.664318862521805,0.4457559451484118
variant_114,0.32105263157894726,0.3405527567211262,0.33485569697068573,0.03789833098210593,0.6432961147383431,0.6556410544995384,0.22780859144518012
variant_115,0.3789473684210525,0.1833890484486087,0.6457308744238685,0.09140418134569117,0.5460473806564663,0.560109297857774,0.3051850919529659
variant_116,0.20526315789473681,0.1526437214558124,0.13989855945973573,0.043862760957763314,0.702820164661313,0.6860216060392317,0.33133203227791913
