Network,S,Sp,N,Np
variant_100,96.6443537256341,65.02141474331006,27.887344987300168,37.90205412757539
variant_101,96.56687448345959,64.54267829644034,29.952549498446654,39.16817364513619
variant_102,96.48403780814114,64.96180374666802,28.13361360556835,37.42523068362726
variant_103,96.66110914639313,64.56797961257342,27.10474659577428,36.64005626052953
variant_104,96.38815591060211,64.14077040892484,25.87469152021927,35.622652591230164
variant_105,96.10896241077492,67.21575489923495,28.609406636887744,43.14698320942621
variant_106,96.40600366251822,64.2754262441705,25.810677135658974,35.81740057806148
variant_107,96.75978607006748,65.63492029305382,31.361638768244745,40.929406430805216
variant_108,96.40417389988458,63.87500546384847,27.5030010767812,36.44260344054777
variant_109,96.8184999420829,65.64568911866657,31.32493031834598,41.599174639484374
variant_10,96.58323444016553,64.87712202461502,29.277629226623805,38.5152784432526
variant_110,96.34706199951573,64.82730357000592,27.190786050273832,37.2884434071624
variant_111,96.37992531287959,65.13918265099937,27.593290983374292,38.521332117446434
variant_113,96.32646906788416,66.4788399481618,27.71732690355853,40.72873357135865
variant_114,96.3941692633054,63.53389468087793,25.257087950869924,34.602544088780355
variant_115,96.35530027514652,64.9114039807889,27.890565026764968,37.433731587814336
variant_116,96.61403508164393,64.73515867111345,28.673034616712258,37.61353859152898
variant_117,96.48403388156716,64.4525109484479,27.573841945006876,37.00379191847375
variant_118,96.7466128895623,66.9401499752499,30.673194330669713,41.98854181156844
variant_119,96.68896905035665,64.93532029694985,29.07180430403355,38.72934666687274
variant_11,96.50348753811582,64.99819706693508,28.8791171424597,39.756925660880896
variant_120,96.34263662974945,64.45076747479541,26.149296485777732,36.195046806493664
variant_121,96.44954870969573,66.34187856414492,30.848235675976444,41.727203408604986
variant_122,96.26553957291792,64.40945351738361,26.1875505546196,36.02953677800275
variant_123,96.69724630534881,66.83842294081731,29.89123994703679,42.04199446668419
variant_124,96.47077195884027,64.34596086270932,28.134257613461312,37.5607299443062
variant_125,96.52667053560526,65.32727537575694,28.107209281956962,39.11227376002721
variant_126,96.47947895329793,64.63256715943498,27.703416333070578,37.04668284414494
variant_127,96.77558988706183,64.67771423549607,26.43652400603822,36.85129084942065
variant_128,96.54666264836558,64.59128850957435,26.911415426307467,36.918654075024335
variant_129,96.4380050651326,65.04284396853953,27.62330175118626,38.189925655728835
variant_12,96.56833811177962,64.77471842853606,28.925099306017096,38.42692056033839
variant_130,96.17461532627598,66.08356218864171,27.97789249705044,40.569534820218756
variant_131,96.87406957265979,65.08713341657834,29.20975079470574,38.74171161841759
variant_132,96.66979389452065,65.52774446904657,31.825968459069433,40.63316280004327
variant_133,96.49524044830488,65.66866058981914,29.99556922569643,40.66948484520626
variant_134,96.40472692148562,64.34643861431832,26.371865613584962,36.28804154623719
variant_135,96.54016182730388,65.5925029717006,29.196870636846523,39.93866468827442
variant_136,96.43964233059549,64.04656696555459,25.904702288031245,35.70379758574321
variant_138,96.9684992045687,65.95520325887507,30.00458533619788,39.97923718553095
variant_139,96.74463390233534,64.96150248553901,29.82078548354689,38.70693519219772
variant_13,96.36608111722545,64.69181832922125,25.721417641694618,36.709222708233504
variant_140,96.59267783902486,65.15917944666492,27.739094370340606,38.84475288129131
variant_141,96.53553840704183,64.91825903569446,27.656918963198812,37.5852022442387
variant_142,96.55961167259177,64.71787501086501,29.226752603079905,38.2544552466035
variant_143,96.49606414498902,66.10812235440685,27.854242981601985,40.18094045760624
variant_144,96.40163015427534,64.57221968186045,27.49012091892198,37.37718769481239
variant_145,96.48444289923064,64.85427662766055,29.103489492367217,38.94457410470023
variant_146,96.85708923702593,65.04832027449288,31.524057558849442,40.03809950694756
variant_147,96.45355884268724,65.3395240826682,28.18886948278438,39.008974893996296
variant_148,96.31374259712095,66.05047528901468,30.58805648722031,40.97384297541951
variant_149,96.59140840587901,64.28016090508679,28.944161939648733,38.63300308608582
variant_14,96.42277208725994,64.72322850298231,27.758801011865202,37.67021128610952
variant_150,96.59781454963019,64.90386200199339,27.853598973709023,37.58545984739589
variant_151,96.5769871192986,64.72227180829046,27.836597165334858,36.96412103226738
variant_152,96.53422873769728,64.50972038615348,29.545278906938282,39.35596634672354
variant_153,96.51550537645322,64.26869488024766,26.385389779337135,36.18319706126318
variant_154,96.43592431175198,64.52837466047718,28.063674348392816,37.98422953471717
variant_155,96.54881737848424,64.79078067349329,28.818451598942797,38.63158626872131
variant_156,96.425369490478,64.87547127731975,26.173639984131647,37.2932090655703
variant_157,96.53411091170908,65.2145784111579,27.753906551878696,37.656815921935944
variant_158,96.83155101732957,65.01184691936113,29.094344580287174,38.86381551492294
variant_159,96.55522317405195,66.19971731097262,28.91968963971623,40.08897613049145
variant_15,96.9514260951821,65.26623524975372,28.55170352967846,38.968531198318374
variant_160,96.71577006819275,65.44002765819415,28.47802902672375,38.5430995842285
variant_161,96.44695138683066,65.31810359414975,28.78097033957248,39.59566608448353
variant_162,96.53029067049393,64.55717476278912,26.996553269756877,36.59111166066451
variant_164,96.96923684006623,65.85696283295036,29.064849018789577,39.415987882347494
variant_165,96.32360275577773,64.52597781367923,28.69750691664477,38.708352009562226
variant_166,96.45156591724589,64.27411065375928,25.894011757008094,36.22119352694787
variant_167,96.86589144621357,66.73791027762394,31.62954605171641,42.756585624713416
variant_168,96.84225652402118,66.70891464471924,30.077744632838222,42.4663956681453
variant_169,96.46376610423891,64.1079189578492,26.39762592930339,36.84755560364148
variant_16,96.56187463804582,64.19563545030483,26.836710510724025,35.82293904594094
variant_170,96.45799215572481,65.40494897579221,27.43460743854877,38.14935315847231
variant_171,96.44576060498126,65.10412989045562,28.116354194037005,37.76552445426771
variant_174,96.59921219021419,64.81291902976912,29.375132021618054,39.5845891487246
variant_175,96.81856367627904,66.45426499525966,31.12245423679913,42.02512145988861
variant_176,96.55248853807792,64.55406545377944,26.475293281194457,36.19659242543677
variant_177,96.40191960395546,65.28369153138605,27.635280297995333,38.161589308438565
variant_178,96.74729314480693,66.80754516878794,31.232450784916818,42.434066471918676
variant_179,96.53119502734859,64.92782791260572,28.44660144154727,38.80096034456998
variant_17,96.34891966858847,64.73913429549773,26.289947809600356,36.6437915063087
variant_180,96.126868732583,64.26683353420268,29.17974002689377,38.06988258448096
variant_181,96.4058799214001,65.7192947723247,27.982400552301172,38.42022287825159
variant_182,96.41899790615993,65.01607941868512,27.66258623265687,37.835721314600434
variant_183,96.86514238501,65.42689239572285,30.209508647737987,39.67629587268222
variant_184,96.27726723576623,64.19281636738032,27.96256510919798,36.80878632848525
variant_185,96.77285004698366,64.4503018357556,30.02339036667233,39.204882095034954
variant_186,96.53548384668974,64.43839127664221,27.92843269087106,37.175355621158495
variant_188,96.53874153761777,65.06527454305117,27.687831342060925,37.49800357553182
variant_189,96.64667804095554,64.34625078957046,27.42765215330479,36.89920503665693
variant_18,96.54039659702951,64.6920756542304,29.488477410779144,39.12669953682953
variant_190,96.82314764387016,65.99148934061729,30.223032813490164,41.90044153181141
variant_191,96.63920021333581,65.3600224485525,28.571796575938837,38.88287814855459
variant_192,96.43698499453588,64.98415353952319,28.191960720670597,37.912487055441346
variant_193,96.18636820276602,64.51506175844092,27.18344436029408,38.44855922554187
variant_194,96.55180230740164,65.24264450480082,27.342127905119607,37.609416941014025
variant_195,96.77938779395659,64.6625064739977,28.686558782464438,37.90411495283287
variant_196,96.75282615791656,65.86552482058315,29.085714874521504,39.51671071680655
variant_198,96.96056687624687,65.23357127280697,30.331226139507564,39.66096848482975
variant_199,96.49836315200892,64.52816602818646,27.32448208885248,36.10372648727183
variant_1,96.43560634237097,66.87305877310992,27.739480775076384,40.67012885309923
variant_200,96.37494238989751,66.70578194852882,29.392262631570812,42.52268195799008
variant_201,96.92344444174404,67.58411243349185,31.284486622668044,43.870461676378305
variant_202,96.78587809181461,65.22874349345645,30.19727249777173,40.15414972925908
variant_203,96.00735053660911,64.6981492440199,27.32139085096627,38.383256825195645
variant_204,96.45281086348801,63.87916219852183,27.840718815849808,37.126282219714895
variant_205,96.52237751462512,64.91172896769794,27.704575547277905,37.31536293708816
variant_206,96.55034505216416,66.50431092618139,31.895006105194824,42.29405915598902
variant_207,96.81680301226875,65.77634318233251,30.74158796890215,41.053957557303825
variant_208,96.59203228500706,65.38891094209191,27.948525737131433,38.23449100192172
variant_209,96.3640087534101,65.54899138804788,26.911801831043245,38.90490321849384
variant_20,96.33880845722051,64.48050099320297,26.586577845098073,36.643405101572924
variant_210,96.64647421242512,65.15153943100708,27.843294847421653,37.889689176030544
variant_211,97.02030231123538,64.74540756195262,28.066765586279026,38.545933218957536
variant_212,96.4688106784254,65.53561288643738,28.199302410650347,38.373596706801244
variant_213,96.45724162671478,65.06811480793259,30.24930833552296,39.305991334229795
variant_214,96.51599494632781,64.45809948720738,27.225820079650898,36.61017429429615
variant_215,96.48735735651313,63.924505133372634,27.063143685889013,36.403061355919974
variant_216,96.13561785916082,64.26123748596261,25.333080882239294,36.212435019603596
variant_217,96.58167366355958,65.60274836286597,29.076698764020055,39.41160862867535
variant_218,96.6141507473875,65.97628435261942,29.44198004090738,41.21032267371468
variant_219,96.52051106972866,64.50742433487117,27.90228597041685,38.10105256650025
variant_21,96.80420782827494,64.73698753485179,30.238875407656995,39.66573414323766
variant_220,96.90353289099083,64.90053165974426,27.81998176169647,38.204480234109745
variant_221,96.28361548019711,65.37234497683374,27.349211991942173,37.98126709840955
variant_222,96.79180754805178,65.3259759441182,28.34343137709496,38.38673446781764
variant_223,96.10515859462865,63.78863350806366,25.197066415245985,34.75478755467627
variant_224,96.56917340511153,65.52706859430586,28.344848194459473,38.821439795566135
variant_225,96.6813914855935,64.81602498830976,28.15641148497916,38.040000618247575
variant_226,96.56517175713981,64.33853272586941,26.8517802954193,36.54165185448513
variant_227,96.2643219451237,64.44597393891,26.357182233625455,36.82385611318052
variant_228,96.68236908245277,66.11917753404157,30.059583610256727,41.145406678104244
variant_229,96.19978982473208,64.72551848893907,27.213068723370274,37.198282302147895
variant_22,96.94923500465211,65.74764348364536,31.295821161584158,41.58809770372546
variant_230,96.65212194140268,64.91414740561102,29.74981581374261,39.11703941843511
variant_231,96.54956808428368,64.95097958841647,27.658206978984737,38.03111330932472
variant_232,96.186096544128,65.40093785826711,27.59676862599628,38.56873109836834
variant_234,96.58420976393018,66.57050628376113,31.539384946701905,42.54535103582229
variant_235,96.63160690023147,65.71082242674704,31.282039392674797,41.21058027687187
variant_236,95.36649732041002,65.14163813549096,24.25089001890807,38.263600158683545
