,Simulation,Dimension,Aspect,Threshold,Reliability,Stress
0,1,Magnitude,Service,0,99.68791145365685,1.0309278350515463
1,1,Magnitude,Spatial,0,62.88659793814433,1.0309278350515463
2,1,Magnitude,Continuity,0,94.79166666666666,1.0309278350515463
3,1,Peak,Service,0,91.41620099544525,1.0309278350515463
4,1,Peak,Spatial,0,85.05154639175258,1.0309278350515463
5,1,Time to Peak,Service,0,1.0416666666666665,1.0309278350515463
6,1,Time to Recovery,Service,0,93.75,1.0309278350515463
7,1,Time to Peak,Spatial,0,3.125,1.0309278350515463
8,1,Time to Recovery,Spatial,0,93.75,1.0309278350515463
9,1,Magnitude,Service,1,99.91689979797229,1.0309278350515463
10,1,Magnitude,Spatial,1,92.01030927835052,1.0309278350515463
11,1,Magnitude,Continuity,1,94.79166666666666,1.0309278350515463
12,1,Peak,Service,1,95.37858366966248,1.0309278350515463
13,1,Peak,Spatial,1,92.26804123711341,1.0309278350515463
14,1,Time to Peak,Service,1,1.0416666666666665,1.0309278350515463
15,1,Time to Recovery,Service,1,93.75,1.0309278350515463
16,1,Time to Peak,Spatial,1,1.0416666666666665,1.0309278350515463
17,1,Time to Recovery,Spatial,1,93.75,1.0309278350515463
18,1,Magnitude,Service,0,99.21928490512073,1.8041237113402062
19,1,Magnitude,Spatial,0,23.969072164948457,1.8041237113402062
20,1,Magnitude,Continuity,0,89.58333333333334,1.8041237113402062
21,1,Peak,Service,0,79.98757213354111,1.8041237113402062
22,1,Peak,Spatial,0,58.50515463917525,1.8041237113402062
23,1,Time to Peak,Service,0,1.0416666666666665,1.8041237113402062
24,1,Time to Recovery,Service,0,88.54166666666666,1.8041237113402062
25,1,Time to Peak,Spatial,0,1.0416666666666665,1.8041237113402062
26,1,Time to Recovery,Spatial,0,88.54166666666666,1.8041237113402062
27,1,Magnitude,Service,1,99.64579050429165,1.8041237113402062
28,1,Magnitude,Spatial,1,53.350515463917525,1.8041237113402062
29,1,Magnitude,Continuity,1,90.625,1.8041237113402062
30,1,Peak,Service,1,86.0583946108818,1.8041237113402062
31,1,Peak,Spatial,1,69.0721649484536,1.8041237113402062
32,1,Time to Peak,Service,1,1.0416666666666665,1.8041237113402062
33,1,Time to Recovery,Service,1,88.54166666666666,1.8041237113402062
34,1,Time to Peak,Spatial,1,1.0416666666666665,1.8041237113402062
35,1,Time to Recovery,Spatial,1,88.54166666666666,1.8041237113402062
36,1,Magnitude,Service,0,98.21742922067642,3.0927835051546393
37,1,Magnitude,Spatial,0,37.628865979381445,3.0927835051546393
38,1,Magnitude,Continuity,0,86.45833333333334,3.0927835051546393
39,1,Peak,Service,0,73.89901578426361,3.0927835051546393
40,1,Peak,Spatial,0,56.95876288659794,3.0927835051546393
41,1,Time to Peak,Service,0,1.0416666666666665,3.0927835051546393
42,1,Time to Recovery,Service,0,85.41666666666666,3.0927835051546393
43,1,Time to Peak,Spatial,0,1.0416666666666665,3.0927835051546393
44,1,Time to Recovery,Spatial,0,85.41666666666666,3.0927835051546393
45,1,Magnitude,Service,1,99.59410433657467,3.0927835051546393
46,1,Magnitude,Spatial,1,64.17525773195875,3.0927835051546393
47,1,Magnitude,Continuity,1,89.58333333333334,3.0927835051546393
48,1,Peak,Service,1,86.99913620948792,3.0927835051546393
49,1,Peak,Spatial,1,79.38144329896907,3.0927835051546393
50,1,Time to Peak,Service,1,1.0416666666666665,3.0927835051546393
51,1,Time to Recovery,Service,1,88.54166666666666,3.0927835051546393
52,1,Time to Peak,Spatial,1,1.0416666666666665,3.0927835051546393
53,1,Time to Recovery,Spatial,1,88.54166666666666,3.0927835051546393
54,1,Magnitude,Service,0,98.71108811348677,5.154639175257732
55,1,Magnitude,Spatial,0,43.29896907216495,5.154639175257732
56,1,Magnitude,Continuity,0,89.58333333333334,5.154639175257732
57,1,Peak,Service,0,74.81655478477478,5.154639175257732
58,1,Peak,Spatial,0,56.95876288659794,5.154639175257732
59,1,Time to Peak,Service,0,1.0416666666666665,5.154639175257732
60,1,Time to Recovery,Service,0,88.54166666666666,5.154639175257732
61,1,Time to Peak,Spatial,0,1.0416666666666665,5.154639175257732
62,1,Time to Recovery,Spatial,0,88.54166666666666,5.154639175257732
63,1,Magnitude,Service,1,98.95694991573691,5.154639175257732
64,1,Magnitude,Spatial,1,43.29896907216495,5.154639175257732
65,1,Magnitude,Continuity,1,89.58333333333334,5.154639175257732
66,1,Peak,Service,1,75.28457939624786,5.154639175257732
67,1,Peak,Spatial,1,57.47422680412371,5.154639175257732
68,1,Time to Peak,Service,1,1.0416666666666665,5.154639175257732
69,1,Time to Recovery,Service,1,88.54166666666666,5.154639175257732
70,1,Time to Peak,Spatial,1,1.0416666666666665,5.154639175257732
71,1,Time to Recovery,Spatial,1,88.54166666666666,5.154639175257732
72,1,Magnitude,Service,0,96.09827660024166,8.762886597938145
73,1,Magnitude,Spatial,0,3.0927835051546393,8.762886597938145
74,1,Magnitude,Continuity,0,70.83333333333333,8.762886597938145
75,1,Peak,Service,0,60.27442216873169,8.762886597938145
76,1,Peak,Spatial,0,26.28865979381443,8.762886597938145
77,1,Time to Peak,Service,0,1.0416666666666665,8.762886597938145
78,1,Time to Recovery,Service,0,51.04166666666667,8.762886597938145
79,1,Time to Peak,Spatial,0,1.0416666666666665,8.762886597938145
80,1,Time to Recovery,Spatial,0,51.04166666666667,8.762886597938145
81,1,Magnitude,Service,1,97.41439428180456,8.762886597938145
82,1,Magnitude,Spatial,1,10.309278350515461,8.762886597938145
83,1,Magnitude,Continuity,1,82.29166666666666,8.762886597938145
84,1,Peak,Service,1,61.69349551200867,8.762886597938145
85,1,Peak,Spatial,1,29.381443298969067,8.762886597938145
86,1,Time to Peak,Service,1,1.0416666666666665,8.762886597938145
87,1,Time to Recovery,Service,1,76.04166666666666,8.762886597938145
88,1,Time to Peak,Spatial,1,1.0416666666666665,8.762886597938145
89,1,Time to Recovery,Spatial,1,76.04166666666666,8.762886597938145
90,1,Magnitude,Service,0,93.78400109708309,14.175257731958762
91,1,Magnitude,Spatial,0,2.8350515463917536,14.175257731958762
92,1,Magnitude,Continuity,0,60.41666666666667,14.175257731958762
93,1,Peak,Service,0,49.76339340209961,14.175257731958762
94,1,Peak,Spatial,0,12.113402061855671,14.175257731958762
95,1,Time to Peak,Service,0,1.0416666666666665,14.175257731958762
96,1,Time to Recovery,Service,0,37.5,14.175257731958762
97,1,Time to Peak,Spatial,0,1.0416666666666665,14.175257731958762
98,1,Time to Recovery,Spatial,0,37.5,14.175257731958762
99,1,Magnitude,Service,1,95.98553702235222,14.175257731958762
100,1,Magnitude,Spatial,1,4.89690721649485,14.175257731958762
