Network,S,Sp,N,Np,Overall
variant_100,0.7558662807085028,0.3174175619271633,0.4333604506592583,0.2651793765039394,0.4204570946404074
variant_101,0.7100364469532039,0.2173049893208212,0.6794732075703385,0.36693654053695335,0.49426654857988045
variant_102,0.6610376318881919,0.3049518090719463,0.4627085603769818,0.2268574007918116,0.3779581941564814
variant_103,0.7657772985028757,0.22259595863174653,0.34009731538473353,0.1637534667180316,0.31825657929164736
variant_104,0.6043224227427686,0.1332586777582776,0.1935102610938002,0.08198542615884774,0.14311651944522202
variant_105,0.43917636137810234,0.7762943397857409,0.5194093539425011,0.6867107576421256,0.6579629051194389
variant_106,0.6148795665694848,0.16141768292917114,0.18588159449876418,0.09763718933462684,0.16020085884698537
variant_107,0.8241457967038954,0.4457128260431844,0.8473959692397428,0.508485621003631,0.7325845127051596
variant_108,0.6137972416143356,0.07768235275911017,0.38755775222950506,0.14788431794258816,0.22128206125559757
variant_109,0.8588757052326343,0.4479647850136992,0.8430213817556673,0.5623144361584296,0.7641790232321104
variant_10,0.7197135433603705,0.28724330765557404,0.5990421955824345,0.3144637974562463,0.474788354590384
variant_110,0.5800149171375679,0.27682535496615657,0.3503507344702146,0.21586390046596549,0.2929735667833209
variant_111,0.5994539326189212,0.3420449916671249,0.3983177024973519,0.31495032713168447,0.3776699970168093
variant_113,0.5678339689671787,0.6221919061264849,0.4130992033645948,0.4923576798476357,0.5387624213545479
variant_114,0.607879387769394,0.006349830971318582,0.11990974535296006,0.0,0.04115791073365682
variant_115,0.5848879488295822,0.29441229353284903,0.4337441864034748,0.22754061267646808,0.3359337104745708
variant_116,0.7379324654728592,0.25755616637398937,0.5269919722482301,0.24199157920648728,0.4177699462092936
variant_117,0.6610353092759951,0.19844934289649174,0.39599993860228055,0.19298665402517612,0.30226386095194285
variant_118,0.8163537138745269,0.7186602946999123,0.7653532671261254,0.5936076108147676,0.8306308578079706
variant_119,0.782256741657605,0.2994136339442477,0.5745138068120768,0.3316683149153379,0.4994209239539846
variant_11,0.6725423635596428,0.3125623199103096,0.5515510598781259,0.414254139397066,0.48591749320464434
variant_120,0.5773972616855758,0.19808475057484465,0.22623524536063533,0.1279883597257565,0.18574721414608147
variant_121,0.640636946443145,0.5935507684163532,0.7862131421817673,0.572604021209175,0.7206189458200205
variant_122,0.5317934948127245,0.18944524424920672,0.23079402600193433,0.1146864313653877,0.16272413409114173
variant_123,0.7871528300755415,0.6973873057991291,0.6721668790004447,0.5979035643319301,0.7796897889677592
variant_124,0.6531907344351637,0.1761677654973557,0.4627853075258255,0.2377473841654365,0.33202484635937984
variant_125,0.686255364501207,0.38137863063934496,0.45956192727440204,0.36244390481057254,0.463521786754756
variant_126,0.658341018528084,0.23610239942379962,0.411441464949577,0.19643376853412775,0.3219464073748614
variant_127,0.8334939302842272,0.24554348117072422,0.26046447374480053,0.18073024688223738,0.32849422344341556
variant_128,0.6980809216247366,0.22747027655476515,0.31705782130193905,0.1861441834833828,0.29505643355595207
variant_129,0.6338087522531808,0.3218988060035439,0.40189411963345556,0.2883154153252807,0.374435156103573
variant_12,0.7109021993883573,0.2658288373042179,0.5570308063055456,0.30736253453390194,0.44578820123071233
variant_130,0.47801079133015634,0.5395320759456492,0.44415109978664224,0.4795629845531484,0.48238911037350546
variant_131,0.8917457599686642,0.3311605419993562,0.5909530460943375,0.3326620776566571,0.5574183047756387
